April 2019,El Latino San Diego,Spanish,https://www.ellatinoonline.com/,California,Chula Vista,"1105 Broadway, Suite 206",https://www.facebook.com/ElLatinoSanDiego/,https://twitter.com/ellatino_SD,,,Newspaper,,,,"Fanny E. Miller, director & publisher",,,,,,,,
April 2019,La Prensa San Diego,Spanish/English,http://laprensa-sandiego.org,California,San Diego,1712 Logan Ave.,https://www.facebook.com/LaPrensaSD/,https://twitter.com/LaPrensaSD,https://www.instagram.com/laprensasd/,,Newspaper,,,,"Arturo Castañares, Publisher and CEO",1976,,,,,,,
April 2019,KDTV Univisión 14,Spanish,https://www.Univision.com/san-francisco/kdtv,California,San Francisco,50 Fremont St.,https://www.facebook.com/Univision14/,https://twitter.com/noticias14,https://www.instagram.com/univision14/?hl=en,,TV,,,,"Univision Television Group, Inc.",,,,,,,,
April 2019,El Reportero,Spanish/English,http://www.elreporterosf.com,California,San Francisco,2601 Mission St. Suite 105 ,https://www.facebook.com/elreporteroSF,https://twitter.com/elreporterosf,https://www.instagram.com/elreporterosf/,,Newspaper,"News, Arts and Culture, Entertainment, Sports, Commentary ",Weekly,Local independent media,,1991,,,,,"20,000 - 49,999",Advertising,1-5
April 2019,El Tecolote,Spanish/English,http://eltecolote.org/content/en,California,San Francisco,2958 24th St.,https://www.facebook.com/ElTecoloteSF/,https://twitter.com/elteco,https://www.instagram.com/eltecogram/?hl=en,,Newspaper,"News, Arts and Culture, Sports, Commentary ",Bi-weekly,Non-profit,,1970,,,,,"10,000 - 19,999   ","Advertising, Subscriptions/Sales of print product, Donations/Grants",1-5
April 2019,El Observador,Spanish/English,http://el-observador.com/,California,San Jose,1042 W Hedding St. 250,https://www.facebook.com/EONewsSJ/,https://twitter.com/eonews,https://www.instagram.com/eonews/,https://www.youtube.com/channel/UC25QZxBIZwRN22sw_0FXYhQ,Web,,,,"El Observador Publications, Inc. ",,,,,,,,
April 2019,KBBF 89.1 FM,Spanish/English,http://www.kbbf-fm.org,California,Santa Rosa,"1700 Corby Ave., Suite B",https://www.facebook.com/KBBF891/,https://twitter.com/KBBF_Radio,https://www.instagram.com/kbbf_89.1_fm/?hl=en,,Radio,,,,"Bilingual Broadcasting Foundation, Inc. ",1973,,,,,,,
April 2019,Latino Times,Spanish/English,http://latinotimes.org,California,Stockton,PO Box 691436,https://www.facebook.com/latinotimesmag/,,,,Newspaper,,,,Andrew Ysiano,,,,,,,,
April 2019,Noticias 62,Spanish,http://noticias.estrellatv.com/noticias/,California,Burbank,1845 Empire Ave.,https://www.facebook.com/Noticias62TV,https://twitter.com/noticias62TV,https://www.instagram.com/noticias62tv/,,TV,,,,Liberman Broadcasting,,,,,,,,
April 2019,Migratory Notes,English,https://medium.com/migratory-notes,California,Pasadena,PO Box #4,,,,,Newsletter,News,Weekly,Non-profit,,2017,,,,,"5,000",Donations/Grants,1-5
